AudioName,Ratings,MOS,AudioType,ScaledMOS
http://eagles.soic.indiana.edu/sid0001-anchor-COSINE-0100-M_close_1.wav,"[18, 40, 57, 53, 33]",40.2,anchor,5.1133556
http://eagles.soic.indiana.edu/sid0001-clean-COSINE-0100-M_close_1.wav,"[39, 65, 81, 64, 44]",58.6,reference,7.871553
http://eagles.soic.indiana.edu/sid0001-noisy-COSINE-0100-M_array1_1.wav,"[21, 67, 76, 63, 21]",49.6,test,4.8412304
http://eagles.soic.indiana.edu/sid0002-anchor-COSINE-0100-M_close_10.wav,"[70, 39, 51, 13, 33]",41.2,anchor,5.0026255
http://eagles.soic.indiana.edu/sid0002-clean-COSINE-0100-M_close_10.wav,"[71, 86, 34, 38, 50]",55.8,reference,7.556607
http://eagles.soic.indiana.edu/sid0002-noisy-COSINE-0100-M_array1_10.wav,"[59, 49, 76, 24, 58]",53.2,test,4.448249
http://eagles.soic.indiana.edu/sid0003-anchor-COSINE-0100-M_close_100-truncated.wav,"[55, 57, 62, 45, 45]",52.8,anchor,5.0961266
http://eagles.soic.indiana.edu/sid0003-clean-COSINE-0100-M_close_100-truncated.wav,"[53, 68, 70, 60, 65]",63.2,reference,7.8604255
http://eagles.soic.indiana.edu/sid0003-noisy-COSINE-0100-M_array1_100-truncated.wav,"[48, 64, 54, 50, 56]",54.4,test,5.161584
http://eagles.soic.indiana.edu/sid0004-anchor-COSINE-0100-M_close_101.wav,"[89, 16, 80, 25, 65]",55.0,anchor,5.647715
http://eagles.soic.indiana.edu/sid0004-clean-COSINE-0100-M_close_101.wav,"[85, 1, 82, 31, 82]",56.2,reference,8.590668
http://eagles.soic.indiana.edu/sid0004-noisy-COSINE-0100-M_array1_101.wav,"[75, 47, 75, 56, 73]",65.2,test,4.7102656
http://eagles.soic.indiana.edu/sid0005-anchor-COSINE-0100-M_close_102.wav,"[58, 84, 49, 21, 60]",54.4,anchor,5.267845
http://eagles.soic.indiana.edu/sid0005-clean-COSINE-0100-M_close_102.wav,"[37, 81, 57, 40, 52]",53.4,reference,8.569503
http://eagles.soic.indiana.edu/sid0005-noisy-COSINE-0100-M_array1_102.wav,"[40, 83, 57, 21, 22]",44.6,test,4.871633
http://eagles.soic.indiana.edu/sid0006-anchor-COSINE-0100-M_close_103.wav,"[50, 32, 52, 79, 24]",47.4,anchor,5.238968
http://eagles.soic.indiana.edu/sid0006-clean-COSINE-0100-M_close_103.wav,"[50, 56, 30, 79, 80]",59.0,reference,8.124451
http://eagles.soic.indiana.edu/sid0006-noisy-COSINE-0100-M_array1_103.wav,"[41, 48, 49, 75, 75]",57.6,test,5.4422264
http://eagles.soic.indiana.edu/sid0007-anchor-COSINE-0100-M_close_104.wav,"[56, 10, 7, 23, 37]",26.6,anchor,5.1024904
http://eagles.soic.indiana.edu/sid0007-clean-COSINE-0100-M_close_104.wav,"[48, 100, 10, 51, 88]",59.4,reference,7.786366
http://eagles.soic.indiana.edu/sid0007-noisy-COSINE-0100-M_array1_104.wav,"[26, 61, 66, 78, 79]",62.0,test,4.4909353
http://eagles.soic.indiana.edu/sid0008-anchor-COSINE-0100-M_close_105-truncated.wav,"[38, 61, 77, 61, 17]",50.8,anchor,5.0764627
http://eagles.soic.indiana.edu/sid0008-clean-COSINE-0100-M_close_105-truncated.wav,"[58, 65, 42, 77, 33]",55.0,reference,7.5458317
http://eagles.soic.indiana.edu/sid0008-noisy-COSINE-0100-M_array1_105-truncated.wav,"[78, 78, 56, 51, 87]",70.0,test,4.5553093
http://eagles.soic.indiana.edu/sid0009-anchor-COSINE-0100-M_close_106.wav,"[46, 63, 45, 21, 73]",49.6,anchor,5.1477356
http://eagles.soic.indiana.edu/sid0009-clean-COSINE-0100-M_close_106.wav,"[50, 52, 47, 53, 64]",53.2,reference,7.918857
http://eagles.soic.indiana.edu/sid0009-noisy-COSINE-0100-M_array1_106.wav,"[70, 62, 74, 33, 49]",57.6,test,4.3217654
http://eagles.soic.indiana.edu/sid0010-anchor-COSINE-0100-M_close_107.wav,"[55, 19, 36, 71, 56]",47.4,anchor,5.334532
http://eagles.soic.indiana.edu/sid0010-clean-COSINE-0100-M_close_107.wav,"[76, 26, 41, 60, 42]",49.0,reference,7.6904907
http://eagles.soic.indiana.edu/sid0010-noisy-COSINE-0100-M_array1_107.wav,"[85, 21, 61, 41, 62]",54.0,test,4.4280386
http://eagles.soic.indiana.edu/sid0011-anchor-COSINE-0100-M_close_108.wav,"[38, 62, 70, 14, 73]",51.4,anchor,5.1694136
http://eagles.soic.indiana.edu/sid0011-clean-COSINE-0100-M_close_108.wav,"[77, 56, 77, 21, 70]",60.2,reference,7.4676356
http://eagles.soic.indiana.edu/sid0011-noisy-COSINE-0100-M_array1_108.wav,"[93, 72, 81, 46, 80]",74.4,test,5.36186
http://eagles.soic.indiana.edu/sid0012-anchor-COSINE-0100-M_close_109.wav,"[53, 23, 53, 74, 28]",46.2,anchor,4.944998
http://eagles.soic.indiana.edu/sid0012-clean-COSINE-0100-M_close_109.wav,"[42, 26, 51, 91, 65]",55.0,reference,7.2953253
http://eagles.soic.indiana.edu/sid0012-noisy-COSINE-0100-M_array1_109.wav,"[62, 54, 68, 77, 39]",60.0,test,4.9351015
http://eagles.soic.indiana.edu/sid0013-anchor-COSINE-0100-M_close_110.wav,"[80, 20, 52, 68, 44]",52.8,anchor,5.045537
http://eagles.soic.indiana.edu/sid0013-clean-COSINE-0100-M_close_110.wav,"[80, 70, 55, 37, 87]",65.8,reference,7.6819983
http://eagles.soic.indiana.edu/sid0013-noisy-COSINE-0100-M_array1_110.wav,"[65, 57, 70, 56, 39]",57.4,test,4.7099376
http://eagles.soic.indiana.edu/sid0014-anchor-COSINE-0100-M_close_111.wav,"[80, 83, 22, 25, 60]",54.0,anchor,4.7963643
