AudioName,Ratings,MOS,AudioType,ScaledMOS
http://eagles.soic.indiana.edu/sid6001-anchor-VOiCES.wav,"[58, 74, 81, 56, 42]",62.2,anchor,6.5939026
http://eagles.soic.indiana.edu/sid6001-clean-VOiCES.wav,"[76, 98, 88, 72, 60]",78.8,reference,8.320702
http://eagles.soic.indiana.edu/sid6001-reverb1-VOiCES.wav,"[40, 10, 55, 12, 50]",33.4,test,1.6070249
http://eagles.soic.indiana.edu/sid6001-reverb2-VOiCES.wav,"[18, 21, 56, 9, 35]",27.8,test,2.4346588
http://eagles.soic.indiana.edu/sid6002-anchor-VOiCES.wav,"[86, 49, 41, 10, 64]",50.0,anchor,6.706147
http://eagles.soic.indiana.edu/sid6002-clean-VOiCES.wav,"[84, 81, 59, 60, 75]",71.8,reference,8.284287
http://eagles.soic.indiana.edu/sid6002-reverb1-VOiCES.wav,"[43, 38, 26, 10, 67]",36.8,test,2.0887814
http://eagles.soic.indiana.edu/sid6002-reverb2-VOiCES.wav,"[12, 33, 18, 10, 51]",24.8,test,3.0330546
http://eagles.soic.indiana.edu/sid6003-anchor-VOiCES.wav,"[44, 88, 59, 78, 91]",72.0,anchor,6.6639614
http://eagles.soic.indiana.edu/sid6003-clean-VOiCES.wav,"[80, 87, 81, 99, 93]",88.0,reference,8.590005
http://eagles.soic.indiana.edu/sid6003-reverb1-VOiCES.wav,"[53, 21, 44, 78, 88]",56.8,test,1.8292217
http://eagles.soic.indiana.edu/sid6003-reverb2-VOiCES.wav,"[46, 29, 59, 54, 75]",52.6,test,2.798688
http://eagles.soic.indiana.edu/sid6004-anchor-VOiCES.wav,"[85, 77, 100, 90, 81]",86.6,anchor,6.880987
http://eagles.soic.indiana.edu/sid6004-clean-VOiCES.wav,"[83, 86, 89, 70, 83]",82.2,reference,8.392888
http://eagles.soic.indiana.edu/sid6004-reverb1-VOiCES.wav,"[39, 18, 15, 45, 24]",28.2,test,3.7636878
http://eagles.soic.indiana.edu/sid6004-reverb2-VOiCES.wav,"[51, 28, 27, 26, 39]",34.2,test,3.4449015
http://eagles.soic.indiana.edu/sid6005-anchor-VOiCES.wav,"[76, 91, 61, 33, 37]",59.6,anchor,6.635866
http://eagles.soic.indiana.edu/sid6005-clean-VOiCES.wav,"[83, 91, 77, 45, 85]",76.2,reference,8.482558
http://eagles.soic.indiana.edu/sid6005-reverb1-VOiCES.wav,"[55, 76, 27, 11, 25]",38.8,test,2.4424005
http://eagles.soic.indiana.edu/sid6005-reverb2-VOiCES.wav,"[54, 84, 20, 11, 14]",36.6,test,2.8986073
http://eagles.soic.indiana.edu/sid6006-anchor-VOiCES.wav,"[59, 65, 94, 28, 87]",66.6,anchor,6.5747747
http://eagles.soic.indiana.edu/sid6006-clean-VOiCES.wav,"[64, 85, 84, 53, 87]",74.6,reference,8.6845
http://eagles.soic.indiana.edu/sid6006-reverb1-VOiCES.wav,"[36, 30, 50, 40, 50]",41.2,test,2.7194896
http://eagles.soic.indiana.edu/sid6006-reverb2-VOiCES.wav,"[47, 25, 46, 25, 72]",43.0,test,3.18814
http://eagles.soic.indiana.edu/sid6007-anchor-VOiCES.wav,"[75, 73, 53, 67, 45]",62.6,anchor,6.4782524
http://eagles.soic.indiana.edu/sid6007-clean-VOiCES.wav,"[55, 77, 81, 82, 52]",69.4,reference,8.392664
http://eagles.soic.indiana.edu/sid6007-reverb1-VOiCES.wav,"[24, 51, 16, 27, 26]",28.8,test,2.975192
http://eagles.soic.indiana.edu/sid6007-reverb2-VOiCES.wav,"[17, 33, 17, 17, 31]",23.0,test,2.9132767
http://eagles.soic.indiana.edu/sid6008-anchor-VOiCES.wav,"[78, 82, 72, 67, 75]",74.8,anchor,7.1216106
http://eagles.soic.indiana.edu/sid6008-clean-VOiCES.wav,"[93, 88, 85, 84, 75]",85.0,reference,8.6192
http://eagles.soic.indiana.edu/sid6008-reverb1-VOiCES.wav,"[21, 49, 5, 19, 10]",20.8,test,3.0836935
http://eagles.soic.indiana.edu/sid6008-reverb2-VOiCES.wav,"[16, 31, 11, 7, 10]",15.0,test,3.128271
http://eagles.soic.indiana.edu/sid6009-anchor-VOiCES.wav,"[56, 49, 9, 14, 54]",36.4,anchor,7.073472
http://eagles.soic.indiana.edu/sid6009-clean-VOiCES.wav,"[81, 74, 39, 100, 75]",73.8,reference,8.609373
http://eagles.soic.indiana.edu/sid6009-reverb1-VOiCES.wav,"[31, 38, 19, 16, 42]",29.2,test,2.3253484
http://eagles.soic.indiana.edu/sid6009-reverb2-VOiCES.wav,"[8, 24, 5, 16, 37]",18.0,test,2.6962428
http://eagles.soic.indiana.edu/sid6010-anchor-VOiCES.wav,"[67, 74, 59, 90, 85]",75.0,anchor,7.0557785
http://eagles.soic.indiana.edu/sid6010-clean-VOiCES.wav,"[81, 81, 94, 87, 87]",86.0,reference,8.602592
http://eagles.soic.indiana.edu/sid6010-reverb1-VOiCES.wav,"[48, 32, 46, 24, 71]",44.2,test,2.8358536
http://eagles.soic.indiana.edu/sid6010-reverb2-VOiCES.wav,"[45, 22, 39, 12, 54]",34.4,test,3.125113
http://eagles.soic.indiana.edu/sid6011-anchor-VOiCES.wav,"[70, 72, 70, 66, 58]",67.2,anchor,6.446924
http://eagles.soic.indiana.edu/sid6011-clean-VOiCES.wav,"[80, 71, 85, 57, 46]",67.8,reference,8.376715
http://eagles.soic.indiana.edu/sid6011-reverb1-VOiCES.wav,"[65, 40, 10, 16, 22]",30.6,test,2.5422955
http://eagles.soic.indiana.edu/sid6011-reverb2-VOiCES.wav,"[65, 41, 22, 19, 31]",35.6,test,2.0797713
http://eagles.soic.indiana.edu/sid6012-anchor-VOiCES.wav,"[77, 44, 81, 21, 88]",62.2,anchor,6.5872636
http://eagles.soic.indiana.edu/sid6012-clean-VOiCES.wav,"[82, 75, 76, 70, 92]",79.0,reference,8.108173
http://eagles.soic.indiana.edu/sid6012-reverb1-VOiCES.wav,"[19, 17, 49, 10, 56]",30.2,test,2.5319967
http://eagles.soic.indiana.edu/sid6012-reverb2-VOiCES.wav,"[19, 33, 45, 10, 56]",32.6,test,2.0175548
http://eagles.soic.indiana.edu/sid6013-anchor-VOiCES.wav,"[61, 51, 85, 56, 64]",63.4,anchor,6.552253
http://eagles.soic.indiana.edu/sid6013-clean-VOiCES.wav,"[70, 60, 98, 62, 75]",73.0,reference,8.415339
http://eagles.soic.indiana.edu/sid6013-reverb1-VOiCES.wav,"[27, 34, 47, 20, 30]",31.6,test,1.9296064
http://eagles.soic.indiana.edu/sid6013-reverb2-VOiCES.wav,"[24, 32, 19, 31, 21]",25.4,test,2.4081397
http://eagles.soic.indiana.edu/sid6014-anchor-VOiCES.wav,"[80, 34, 49, 56, 55]",54.8,anchor,6.7870216
http://eagles.soic.indiana.edu/sid6014-clean-VOiCES.wav,"[80, 63, 60, 76, 71]",70.0,reference,8.357969
http://eagles.soic.indiana.edu/sid6014-reverb1-VOiCES.wav,"[60, 12, 38, 10, 29]",29.8,test,3.0504408
http://eagles.soic.indiana.edu/sid6014-reverb2-VOiCES.wav,"[55, 6, 39, 13, 33]",29.2,test,2.8198898
http://eagles.soic.indiana.edu/sid6015-anchor-VOiCES.wav,"[85, 98, 51, 50, 54]",67.6,anchor,6.370006
http://eagles.soic.indiana.edu/sid6015-clean-VOiCES.wav,"[100, 63, 63, 60, 61]",69.4,reference,8.42248
http://eagles.soic.indiana.edu/sid6015-reverb1-VOiCES.wav,"[33, 28, 32, 45, 46]",36.8,test,2.2083664
http://eagles.soic.indiana.edu/sid6015-reverb2-VOiCES.wav,"[15, 15, 21, 29, 36]",23.2,test,3.0197597
http://eagles.soic.indiana.edu/sid6016-anchor-VOiCES.wav,"[32, 65, 34, 42, 65]",47.6,anchor,6.3713007
http://eagles.soic.indiana.edu/sid6016-clean-VOiCES.wav,"[50, 95, 60, 66, 80]",70.2,reference,8.460783
http://eagles.soic.indiana.edu/sid6016-reverb1-VOiCES.wav,"[13, 15, 19, 36, 10]",18.6,test,1.9285657
http://eagles.soic.indiana.edu/sid6016-reverb2-VOiCES.wav,"[9, 30, 26, 26, 10]",20.2,test,1.515421
http://eagles.soic.indiana.edu/sid6017-anchor-VOiCES.wav,"[70, 56, 32, 58, 83]",59.8,anchor,7.1695147
http://eagles.soic.indiana.edu/sid6017-clean-VOiCES.wav,"[85, 69, 63, 97, 85]",79.8,reference,8.750677
http://eagles.soic.indiana.edu/sid6017-reverb1-VOiCES.wav,"[37, 63, 21, 44, 43]",41.6,test,2.6694212
http://eagles.soic.indiana.edu/sid6017-reverb2-VOiCES.wav,"[32, 45, 20, 20, 40]",31.4,test,2.883877
http://eagles.soic.indiana.edu/sid6018-anchor-VOiCES.wav,"[36, 91, 79, 82, 75]",72.6,anchor,6.3025646
http://eagles.soic.indiana.edu/sid6018-clean-VOiCES.wav,"[55, 100, 94, 99, 67]",83.0,reference,8.201285
http://eagles.soic.indiana.edu/sid6018-reverb1-VOiCES.wav,"[29, 42, 59, 36, 53]",43.8,test,1.8774253
http://eagles.soic.indiana.edu/sid6018-reverb2-VOiCES.wav,"[29, 41, 49, 50, 37]",41.2,test,2.4922118
http://eagles.soic.indiana.edu/sid6019-anchor-VOiCES.wav,"[89, 100, 67, 82, 29]",73.4,anchor,7.1806407
http://eagles.soic.indiana.edu/sid6019-clean-VOiCES.wav,"[75, 94, 94, 94, 43]",80.0,reference,8.653571
http://eagles.soic.indiana.edu/sid6019-reverb1-VOiCES.wav,"[32, 68, 40, 15, 37]",38.4,test,2.717863
http://eagles.soic.indiana.edu/sid6019-reverb2-VOiCES.wav,"[42, 47, 49, 23, 35]",39.2,test,3.2611096
http://eagles.soic.indiana.edu/sid6020-anchor-VOiCES.wav,"[52, 50, 69, 88, 62]",64.2,anchor,7.54707
http://eagles.soic.indiana.edu/sid6020-clean-VOiCES.wav,"[93, 51, 59, 82, 78]",72.6,reference,8.853769
http://eagles.soic.indiana.edu/sid6020-reverb1-VOiCES.wav,"[13, 29, 14, 46, 26]",25.6,test,3.1368694
http://eagles.soic.indiana.edu/sid6020-reverb2-VOiCES.wav,"[4, 27, 10, 40, 23]",20.8,test,3.3324606
http://eagles.soic.indiana.edu/sid6021-anchor-VOiCES.wav,"[88, 67, 68, 85, 96]",80.8,anchor,7.6374407
http://eagles.soic.indiana.edu/sid6021-clean-VOiCES.wav,"[87, 71, 82, 89, 100]",85.8,reference,8.9257145
http://eagles.soic.indiana.edu/sid6021-reverb1-VOiCES.wav,"[41, 18, 38, 18, 28]",28.6,test,1.4449894
http://eagles.soic.indiana.edu/sid6021-reverb2-VOiCES.wav,"[29, 14, 47, 7, 47]",28.8,test,3.343596
http://eagles.soic.indiana.edu/sid6022-anchor-VOiCES.wav,"[73, 77, 80, 68, 84]",76.4,anchor,6.6407332
http://eagles.soic.indiana.edu/sid6022-clean-VOiCES.wav,"[100, 84, 85, 87, 85]",88.2,reference,8.538147
http://eagles.soic.indiana.edu/sid6022-reverb1-VOiCES.wav,"[34, 46, 43, 26, 57]",41.2,test,2.3051717
http://eagles.soic.indiana.edu/sid6022-reverb2-VOiCES.wav,"[41, 49, 43, 12, 44]",37.8,test,2.5487635
http://eagles.soic.indiana.edu/sid6023-anchor-VOiCES.wav,"[78, 67, 86, 23, 78]",66.4,anchor,7.720169
http://eagles.soic.indiana.edu/sid6023-clean-VOiCES.wav,"[92, 95, 93, 62, 78]",84.0,reference,8.915975
http://eagles.soic.indiana.edu/sid6023-reverb1-VOiCES.wav,"[45, 25, 70, 28, 42]",42.0,test,3.5715656
http://eagles.soic.indiana.edu/sid6023-reverb2-VOiCES.wav,"[53, 10, 50, 9, 48]",34.0,test,3.789125
http://eagles.soic.indiana.edu/sid6024-anchor-VOiCES.wav,"[21, 90, 57, 36, 79]",56.6,anchor,6.746212
http://eagles.soic.indiana.edu/sid6024-clean-VOiCES.wav,"[61, 89, 82, 62, 72]",73.2,reference,8.445373
